,region_id,region_name,station_name,station_id,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,rrr24_1,rrr24_2,rrr24_3,rrr24_4,rrr24_5,rrr24_6,rrr24_7,rrr24_8,rrr24_9,rrr24_10,rrr24_11,rrr24_12,tm_1,tm_2,tm_3,tm_4,tm_5,tm_6,tm_7,tm_8,tm_9,tm_10,tm_11,tm_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,lat,lon,station_elevation,tm_spring,tm_summer,tm_autumn,tm_winter,tm_annual,rrr24_spring,rrr24_summer,rrr24_autumn,rrr24_winter,rrr24_annual,delta_spring,delta_summer,delta_autumn,delta_winter,delta_annual,cluster,cluster_hier,geometry
0,ALKK,Alborz,Hashtgerd,99396,7.903157894736843,8.41,9.458421052631579,10.45315789473684,11.929473684210526,14.082105263157896,14.332105263157896,13.371052631578948,12.427368421052634,10.459473684210527,7.901052631578948,7.454736842105262,9.253531643900995,9.522789239907432,9.689953107516635,9.977382215483853,7.992336411019696,4.472090636207145,3.4705003610919007,3.5985590941339174,4.4949738120550355,7.913228916757087,9.546987893577608,9.044430503745627,2.0142105263157895,4.071052631578947,9.061052631578947,14.14684210526316,19.646315789473682,25.55578947368421,27.726842105263156,26.79157894736842,23.19736842105263,16.42736842105263,8.457894736842105,3.901578947368421,5.984736842105264,8.192631578947369,13.51736842105263,19.036315789473683,24.852105263157895,31.37578947368421,33.82157894736842,32.567894736842106,28.74105263157895,21.405263157894737,12.450000000000001,7.640526315789473,-1.918421052631579,-0.21736842105263163,4.058947368421053,8.583157894736843,12.92263157894737,17.293684210526315,19.489473684210527,19.19684210526316,16.313684210526315,10.94578947368421,4.548947368421053,0.1857894736842105,36.01,50.75,1612.9,14.284736842105263,26.69140350877193,16.027543859649125,3.3289473684210527,15.083157894736841,13.413901071275152,5.623540362010292,11.335399469520805,13.380788538770364,18.60852694168173,10.613684210526316,13.92842105263158,10.26263157894737,7.922631578947368,10.681842105263158,0,0,POINT (50.75 36.01)
1,ALKK,Alborz,Karaj,40752,9.2135,9.9535,11.384500000000001,12.716999999999999,14.428999999999998,16.327000000000005,16.4435,15.752499999999998,15.028500000000001,12.766,9.747,9.182,8.493882564900215,8.924847452714655,8.930953117011203,9.283022945019038,7.326444402927919,4.26038980467664,3.769469116379449,3.869096108343178,3.9369273543637227,7.417526026473521,8.73678003663825,8.2274314310255,3.0305,5.2475000000000005,10.5465,15.510499999999999,20.581,26.210500000000003,28.381,27.267500000000002,23.5035,17.131999999999998,9.5015,5.008,7.737,10.294,16.178,21.804,27.6315,34.111000000000004,36.473,35.044,31.060000000000002,23.7835,14.638,9.8345,-1.4765000000000001,0.3405,4.7935,9.087,13.2025,17.784,20.0295,19.2915,16.0315,11.0175,4.891,0.6525000000000001,35.81,50.95,1292.9,15.546,27.286333333333335,16.71233333333333,4.4286666666666665,15.993333333333334,12.397714632587364,5.736869851036115,10.434268125801509,12.343346304161154,17.225383918704118,12.8435,16.174333333333333,12.513833333333332,9.449666666666666,12.745333333333333,3,0,POINT (50.95 35.81)
2,MAAA,Markazi,Arak,40769,11.172,11.7005,12.905,13.443000000000001,15.073,16.861,15.965499999999995,16.422,17.39,15.521499999999998,11.8335,11.037,8.779713946779346,9.024378351044682,9.958696301999554,9.950185597911712,7.625846900467721,4.152642629063049,3.216258401058526,2.402081527496116,2.9341193944784747,7.072778127527422,9.072500810639589,8.909378658685291,0.6655,3.8600000000000003,9.3645,13.9845,19.0805,25.128,28.408499999999997,26.9015,22.687,16.182499999999997,8.162,3.6205,6.2955,9.727,15.815999999999999,20.716,26.6175,33.557,36.388999999999996,35.11,31.3815,23.9425,14.0935,9.129000000000001,-4.8765,-1.9735,2.911,7.273000000000001,11.5445,16.696,20.4235,18.688,13.991499999999998,8.421000000000001,2.2600000000000002,-1.908,34.07,49.78,1702.8,14.143166666666668,26.81266666666666,15.677166666666666,2.7153333333333336,14.837083333333334,13.418827029319635,4.915099886995602,10.402976219205367,12.844114551094588,17.94607316795392,13.807,16.416166666666665,14.915,11.303166666666668,14.110333333333331,3,0,POINT (49.78 34.07)
3,MAAA,Markazi,Delijan,99461,12.3465,12.7885,13.821499999999999,14.018999999999997,15.4255,16.201500000000003,14.666,15.187999999999995,16.5895,15.294500000000003,12.261000000000001,12.164,7.095361646794719,7.386315102424508,8.320142687395117,8.159957468059744,6.986026546414374,4.242315988785857,2.9395300589358744,2.5672418643028885,1.939877414580333,5.8959850113794605,7.755798643307012,7.0485737268642215,3.176,5.583,10.818000000000001,15.6735,20.9945,27.0645,30.294,28.6375,24.2275,17.349,9.686,5.3055,9.348,11.976,17.7275,22.682499999999997,28.7,35.167500000000004,37.624,36.2285,32.522,24.990000000000002,15.803,11.3835,-2.9985,-0.8125,3.906,8.6635,13.2745,18.966,22.958000000000002,21.0405,15.9325,9.6955,3.5420000000000003,-0.7805,33.98,50.69,1524.3,15.828666666666669,28.665333333333333,17.0875,4.688166666666667,16.567416666666663,11.345093521225678,4.91413384178726,8.788440400577217,10.355169455854131,14.989741133458171,14.421999999999997,15.351833333333332,14.715000000000002,12.433,14.230458333333331,2,1,POINT (50.69 33.98)
4,MAAA,Markazi,Khomeyn,99443,11.54,11.7515,12.688,13.587,15.473999999999998,18.203999999999997,17.385499999999997,17.781000000000002,18.036,15.623999999999999,11.974,11.808,8.602451077089324,8.947471795078345,9.340494787067756,9.304788069009348,6.999387701545117,4.483063911738949,2.8272842881255507,2.6730748660601886,3.332522024771768,6.747461322413994,9.280894991465907,9.102169108169177,1.1774999999999998,3.9189999999999996,8.7195,13.054499999999999,17.86,23.7225,27.198,25.6025,21.676499999999997,15.486500000000001,8.106,3.693,6.9475,9.795,15.0775,19.8495,25.592,32.821,35.888999999999996,34.4915,30.6975,23.294999999999998,14.091,9.59,-4.592499999999999,-1.9565000000000001,2.3895,6.2625,10.118,14.617,18.5035,16.7105,12.6615,7.670999999999999,2.117,-2.218,33.62,50.07,1834.6,13.211333333333334,25.507666666666665,15.089666666666666,2.9298333333333333,14.184625000000002,12.521924190574364,5.0890705327536825,10.457484927005995,12.820045089944546,17.48527741341716,13.916333333333332,17.790166666666664,15.211333333333334,11.699833333333332,14.654416666666664,3,0,POINT (50.07 33.62)
5,MAAA,Markazi,Komijan,99432,11.8435,12.212,13.927,14.896315789473682,16.79578947368421,18.769999999999996,17.011499999999998,17.165,18.470999999999997,16.381,12.102,11.744,7.998489298073752,8.961813514720408,9.300859364839843,9.669425820915176,7.897333929182951,3.8507504018831273,3.6627874492403825,3.1427312031391987,2.4749498340340343,7.40709084140957,9.281127179274602,8.373537280746099,-0.535,2.0140000000000002,7.1705,11.73157894736842,16.49473684210526,22.87421052631579,26.932499999999997,25.823,21.1475,14.598500000000001,7.0424999999999995,2.5715,5.3905,8.123999999999999,14.125499999999999,19.17736842105263,24.89157894736842,32.25894736842105,35.436,34.407,30.381999999999998,22.7885,13.0875,8.436499999999999,-6.453,-4.088,0.1985,4.281052631578947,8.09578947368421,13.488947368421053,18.424500000000002,17.241999999999997,11.911,6.407500000000001,0.9855,-3.3075,34.71,49.31,1741.0,11.798938596491226,25.20990350877193,14.262833333333333,1.3501666666666665,13.155460526315787,13.008259051619765,5.158646360869167,10.688274341715656,12.206137733991055,17.52033554398609,15.20636842105263,17.648833333333332,15.651333333333332,11.933166666666665,15.109925438596491,3,0,POINT (49.31 34.71)
6,MAAA,Markazi,Mahallat,40891,10.455789473684211,11.16578947368421,12.065263157894735,12.411578947368422,13.551578947368421,14.642631578947363,13.821578947368426,14.229473684210529,14.802105263157891,13.347894736842107,10.644736842105264,10.231052631578947,7.068043914944477,7.901447152503528,8.301949510610438,8.388722583594195,6.813223978272834,4.7238264958024985,3.723396904892133,2.148674141977933,3.094057293558954,5.944676640677889,8.006817105900002,7.4118873949031645,3.5652631578947367,5.824736842105263,10.706842105263158,15.35578947368421,20.70842105263158,26.594736842105263,29.54736842105263,27.948947368421052,24.087894736842106,17.597894736842107,9.817894736842105,5.403157894736842,8.792631578947368,11.42,16.75052631578947,21.560526315789474,27.484210526315792,33.91736842105263,36.457368421052635,35.066315789473684,31.49473684210526,24.272105263157897,15.140526315789474,10.51842105263158,-1.6631578947368422,0.2542105263157895,4.685263157894736,9.148947368421052,13.93263157894737,19.274736842105266,22.63578947368421,20.836842105263155,16.69263157894737,10.92421052631579,4.49578947368421,0.28736842105263155,33.89,50.48,1622.0,15.590350877192982,28.030350877192983,17.167894736842104,4.931052631578948,16.429912280701753,11.392906225908472,5.506328802861756,9.097741258017289,10.782476154039696,15.400092763819703,12.676140350877192,14.231228070175439,12.931578947368422,10.617543859649123,12.614122807017543,3,0,POINT (50.48 33.89)
7,MAAA,Markazi,Saveh,99372,10.2555,10.663684210526316,11.591894736842105,12.367921052631578,13.441499999999998,13.802,12.9435,12.962,13.301499999999997,12.333999999999998,10.124500000000001,10.0905,7.505773332455083,7.978222018737721,8.10928164295192,8.021297418847531,5.930778543533227,3.1840350660683594,3.2654491274529507,1.885203631020986,2.4771246592603413,5.829948149277935,8.044182621118306,7.564597578566829,4.931,7.3373684210526315,12.723157894736843,18.280526315789473,24.2115,29.8615,32.6495,31.044999999999998,26.873,20.037,11.7585,6.769499999999999,10.0945,12.713684210526315,18.627894736842105,24.45842105263158,30.814999999999998,36.7645,39.1175,37.518,33.525999999999996,26.189999999999998,16.811500000000002,11.807500000000001,-0.16099999999999998,2.05,7.036,12.0905,17.3735,22.9625,26.174,24.556,20.2245,13.856,6.687,1.7169999999999999,35.08,50.37,1111.6,18.40506140350877,31.185333333333332,19.556166666666666,6.345956140350876,18.87312938596491,10.795048026998874,4.194550756125289,9.020037659441293,11.088948229400994,15.079884915875759,12.467105263157896,13.235833333333332,11.919999999999996,10.336561403508773,11.989875,2,1,POINT (50.37 35.08)
8,MAAA,Markazi,Tafresh,99409,9.485,9.401499999999999,10.078,10.818000000000001,12.137500000000001,13.117000000000004,11.527500000000003,11.831000000000003,12.94,11.753999999999998,9.391000000000002,9.4645,8.404749770279844,8.965339942423224,10.256054325254999,9.603846837948504,7.89765459403344,4.458046293182285,3.3471647504108475,3.4313139432434188,3.184692517060835,7.282965221245167,9.166529290870528,8.431983133404493,0.8780000000000001,2.7635,7.453,12.0435,17.217,23.521,26.936500000000002,25.727999999999998,21.6255,15.016,7.106,3.1825,5.619,7.462999999999999,12.485,17.452,23.283,30.079500000000003,32.698,31.642000000000003,28.0965,20.891,11.8,7.9125,-3.8659999999999997,-1.9385000000000001,2.407,6.634,11.1455,16.9625,21.170499999999997,19.811,15.1565,9.137,2.409,-1.552,34.68,50.04,1979.7,12.237833333333333,25.395166666666668,14.582500000000001,2.2746666666666666,13.622541666666665,13.49419045869206,5.501377065655941,10.593481217963987,12.415580484439358,17.890633135964976,11.011166666666668,12.158500000000004,11.361666666666665,9.450333333333333,10.995416666666669,3,0,POINT (50.04 34.68)
9,MASA,Mazandaran,Alasht,99361,8.888499999999999,8.687,8.971499999999999,9.267,8.962,8.673499999999997,7.741999999999999,8.4245,8.657,8.408,8.171499999999998,8.6055,9.719329437163683,10.705200255597404,10.57834072627653,8.898446894751157,9.302284866585364,9.087782985750597,9.383167401098568,8.589955823724551,8.970396560184602,9.502787732195706,10.49248139001026,9.599146336128662,2.4665,2.9375,6.5525,10.8335,14.928999999999998,18.104,19.3565,19.6065,17.25,13.055000000000001,7.4815,4.414,6.922499999999999,7.2955,11.0465,15.494499999999999,19.4195,22.447,23.226,23.8215,21.582,17.2655,11.5705,8.744,-1.966,-1.3915,2.075,6.2275,10.4575,13.773500000000002,15.484,15.397,12.925,8.8575,3.399,0.13849999999999998,36.07,52.84,1805.0,10.771666666666667,19.022333333333332,12.5955,3.2726666666666664,11.415541666666664,13.913204504476894,13.026572865220844,13.984847551731349,14.469567564635227,22.014006232597747,9.066833333333333,8.28,8.412166666666666,8.726999999999999,8.621499999999997,0,0,POINT (52.84 36.07)
